vote1duk-voteanitta 0
voteiggyazalea-votelittlemixuk 0
voterixtonuk-votenickiminaj 0
voteproblem-votegrantgustin 0
votelauramarano-bestfanarmy 0
votebangbang-vote5sos 0
5sosfam-votedanielph 1
votadulcemaria-votearianagrande 0
fifthharmony-theyretheone 240
vote1duk-voterosslynch 0
votelittlemixuk-votedarkhorse 1
votedanielph-votenickiminaj 0
votetheflash-vote5sos 0
voterixtonuk-vote1duk 0
vote1duk-votejkt48id 1
beyhive-votegrantgustin 0
vote1du-votedebbyryan 0
votebangbang-voteeverywitchway 0
votelauramarano-votefancy 0
voteeverywitchway-votejustintimberlake 0
votebangbang-votalali 0
bestfanarmy-vote1du 0
voteselenagomez-votelittlemixuk 0
votenickjonas-vote1duk 0
votelauramarano-vote1du 0
votalali-votenickjonas 0
votetheflash-votalali 0
voteluansantana-vote5sos 0
voteukdirectioners-vote5sos 0
vote5sos-5sosfam 412
votemainstreet-votejkt48id 0
voteproblem-votedanielph 0
voterosslynch-5sosfam 0
votalali-kca 1980
voterixtonuk-votedebbyryan 0
votelittlemixuk-votefancy 0
beyhive-votefifthharmony 0
voteukdirectioners-voteeverywitchway 0
voteeverywitchway-votedanielph 0
votelittlemixuk-votenickjonas 0
vote1duk-voteluansantana 0
5sosfam-votebangbang 0
votelittlemixuk-kca 2072
votejustintimberlake-kca 448
votearianagrande-voteiggyazalea 0
kca-votelauramarano 794
vote1duk-voteproblem 0
voterixtonuk-vote1du 0
5sosfam-votemainstreet 0
votebangbang-voteselenagomez 0
voteluansantana-votalali 0
votetheflash-votegrantgustin 1
voteukdirectioners-votalali 0
votefifthharmony-votedebbyryan 0
voteeverywitchway-voteonedirection 0
votejkt48id-votenickiminaj 0
voterosslynch-votetheflash 0
voteselenagomez-votedanielph 0
votedanielph-5sosfam 1
5sosfam-votelittlemixuk 1
voteiggyazalea-voteanitta 0
voteonedirection-vote1du 24
voteproblem-iheartawards 3
votearianagrande-voteselenagomez 10
votedebbyryan-voteselenagomez 0
voteeverywitchway-iheartawards 0
votenickiminaj-votearianagrande 0
votetheflash-kca 178
votalali-voteselenagomez 2
androidgames-android 2982
voterosslynch-votenickiminaj 0
votegrantgustin-votefancy 0
voteiggyazalea-voteeverywitchway 0
voteproblem-votebangbang 2
voterosslynch-voterixtonuk 0
voteanitta-vote1du 0
vote1du-voteselenagomez 0
iheartawards-voteluansantana 0
voteeverywitchway-votebangbang 0
voteselenagomez-votearianagrande 10
votenickjonas-voterosslynch 0
voteproblem-voteonedirection 0
voteselenagomez-iheartawards 3
votebangbang-kca 661
votefancy-votedanielph 0
kca-votedebbyryan 582
votenickiminaj-votetheflash 0
voterosslynch-voteselenagomez 0
voteluansantana-voteukdirectioners 0
bestfanarmy-votefifthharmony 0
charliehebdo-jesuischarlie 60
votedebbyryan-votefancy 0
vote5sos-votearianagrande 0
voteonedirection-votegrantgustin 0
votedanielph-voteselenagomez 0
voteiggyazalea-votetheflash 0
voteselenagomez-votebangbang 0
votenickjonas-votadulcemaria 0
votelauramarano-voteiggyazalea 0
beyhive-vote1du 0
voteeverywitchway-votelauramarano 0
votejustintimberlake-vote5sos 0
beyhive-votedarkhorse 0
votemainstreet-votegrantgustin 0
votejustintimberlake-voteselenagomez 0
votenickiminaj-voterixtonuk 0
votenickjonas-votearianagrande 6
vote5sos-voteanitta 0
vote1duk-votenickiminaj 14
votedebbyryan-vote5sos 0
vote1du-voterosslynch 0
votejustintimberlake-vote1du 0
voterosslynch-voteukdirectioners 0
votebangbang-votedanielph 0
voteluansantana-voterosslynch 0
votenickjonas-iheartawards 1
votefancy-iheartawards 12
votalali-votadulcemaria 0
iheartawards-voteanitta 0
votemainstreet-vote5sos 0
votebangbang-votelittlemixuk 0
bestfanarmy-votenickiminaj 324
votefifthharmony-voteluansantana 0
voteukdirectioners-voteonedirection 108
votedanielph-votefifthharmony 0
votefancy-votedebbyryan 0
votejustintimberlake-votalali 0
voteproblem-votefancy 0
bestfanarmy-voteluansantana 0
votebangbang-voteonedirection 0
vote5sos-votejkt48id 0
votejustintimberlake-votefancy 0
voteproblem-voteselenagomez 23
androidgames-ipadgames 37
vote1du-vote5sos 1
votenickjonas-votegrantgustin 0
votefifthharmony-votearianagrande 37
votetheflash-votenickiminaj 0
votedebbyryan-votalali 0
voteiggyazalea-vote5sos 0
voteonedirection-votejustintimberlake 0
votearianagrande-votelittlemixuk 0
voteanitta-bestfanarmy 0
votedebbyryan-votelittlemixuk 0
votedanielph-votetheflash 0
beyhive-votenickjonas 0
votefancy-voteukdirectioners 0
voteselenagomez-votenickiminaj 0
vote5sos-votenickiminaj 0
votalali-votelittlemixuk 0
voteukdirectioners-voteluansantana 0
votemainstreet-votalali 0
votebangbang-iheartawards 56
iheartawards-bestfanarmy 1087
vote1du-votemainstreet 0
voterosslynch-votefifthharmony 0
voteiggyazalea-beyhive 0
votefifthharmony-voterosslynch 0
5sosfam-votejkt48id 0
votedebbyryan-votemainstreet 0
beyhive-voteselenagomez 0
votegrantgustin-votadulcemaria 0
voteonedirection-votenickiminaj 0
votalali-votejkt48id 0
vote1du-votalali 0
voteanitta-voteonedirection 0
iheartawards-votedanielph 0
votedanielph-voteeverywitchway 0
votelittlemixuk-votejustintimberlake 0
votedanielph-voterixtonuk 0
voteanitta-voteluansantana 0
beyhive-voteukdirectioners 0
voteiggyazalea-votalali 0
vote1duk-votearianagrande 0
gameinsight-ipadgames 3340
voterosslynch-votelittlemixuk 0
voteluansantana-votenickiminaj 0
ipad-ipadgames 3347
voteselenagomez-votejustintimberlake 0
votedanielph-votelittlemixuk 0
vote1duk-voteeverywitchway 0
votedarkhorse-votefancy 0
votelittlemixuk-vote5sos 2
votedanielph-vote5sos 2
kca-votenickiminaj 1156
votelittlemixuk-votedebbyryan 0
votejustintimberlake-votelittlemixuk 0
votedarkhorse-votedanielph 0
votedarkhorse-bestfanarmy 0
votelittlemixuk-votetheflash 0
voterosslynch-bestfanarmy 0
